id,neighbourhood_cleansed,city,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,host_is_superhost,has_wifi,has_kitchen,has_parking,has_tv,has_wash,has_washer,has_garden,has_balcony,LSOA11CD,Index of Multiple Deprivation (IMD) Score,median_house_price_2020,minutes_to_town,minutes_to_rail,minutes_to_airport,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
44470360,Eastville,Bristol,51.47505,-2.5440099999999997,Entire apartment,16,2.0,6.0,164.0,2,1124,362,0,0,1,1,0,1,0,0,0,0,E01014572,29.609,225000.0,10,32,63,1,0,0,0
5270940,Burnage,Manchester,53.43369497999983,-2.207530780477353,House,16,6.0,10.0,400.0,1,1125,282,6,0,0,1,0,0,1,1,0,0,E01005118,27.776999999999997,247000.0,17,28,31,1,0,0,0
22659845,Whalley Range,Manchester,53.44635,-2.2512,Entire house,16,2.0,4.0,91.0,2,400,171,49,1,1,1,1,1,1,1,1,0,E01005179,29.603,179999.0,15,33,61,1,0,0,0
41224558,Eastville,Bristol,51.47315,-2.54737,Entire house,16,4.0,6.0,479.0,95,1125,364,1,0,1,1,1,1,1,1,0,0,E01014575,35.093,288000.0,14,29,59,1,0,0,0
41223865,Eastville,Bristol,51.47432,-2.54875,Entire house,16,4.0,7.0,471.0,2,1125,360,0,0,1,1,1,1,1,1,0,0,E01014573,20.938000000000002,231000.0,13,30,60,1,0,0,0
35818860,Cheetham,Manchester,53.508109999999995,-2.23793,Private room in apartment,16,3.0,4.0,850.0,1,1125,365,0,0,1,1,1,1,1,1,0,0,E01005145,33.365,137000.0,10,19,58,0,0,1,0
21454678,Hotwells & Harbourside,Bristol,51.45493,-2.6059099999999997,Entire townhouse,15,7.0,7.0,485.0,1,28,310,75,1,1,1,0,1,1,1,0,0,E01033344,24.805,305500.0,11,20,38,1,0,0,0
23852889,Redland,Bristol,51.47276,-2.59426,Entire house,15,2.0,5.0,314.0,2,1125,325,91,1,1,1,1,1,1,1,1,1,E01014668,7.39,598725.0,5,28,56,1,0,0,0
18004541,Northenden,Manchester,53.40218,-2.26543,Entire house,15,1.0,6.0,290.0,1,1125,364,43,0,1,1,1,1,1,1,1,0,E01005269,20.252,245000.0,10,39,38,1,0,0,0
35818354,Cheetham,Manchester,53.507259999999995,-2.23694,Private room in apartment,15,3.0,4.0,767.0,1,1125,365,0,0,1,1,1,1,1,1,0,0,E01005145,33.365,137000.0,10,19,58,0,0,1,0
4522194,Cheetham,Manchester,53.508130552845905,-2.2367574006464115,House,15,2.5,4.0,501.0,1,365,359,0,0,0,1,0,1,1,1,0,0,E01005145,33.365,137000.0,10,19,58,1,0,0,0
27299346,Ancoats and Clayton,Manchester,53.487869999999994,-2.23313,Entire apartment,14,2.0,2.0,336.0,1,1125,348,6,0,1,1,0,1,1,1,0,0,E01033651,21.186,189500.0,15,17,45,1,0,0,0
29560978,Withington,Manchester,53.440430000000006,-2.21516,Entire house,14,2.0,6.0,193.0,2,1000,2,27,1,1,1,1,1,1,1,0,0,E01005309,26.698,151500.0,10,33,37,1,0,0,0
31572094,Ashley,Bristol,51.46645,-2.58442,Entire townhouse,14,2.0,5.0,464.0,2,93,83,0,0,1,1,1,1,1,1,0,0,E01014489,35.292,252000.0,13,24,48,1,0,0,0
9663979,Ancoats and Clayton,Manchester,53.48749,-2.2341599999999997,Entire apartment,14,2.0,2.0,203.0,1,1125,180,238,0,1,1,1,1,1,1,0,1,E01033651,21.186,189500.0,15,17,45,1,0,0,0
9082930,City Centre,Manchester,53.479808142141245,-2.2319976022920445,Apartment,14,1.0,2.0,901.0,1,1125,302,1,0,0,1,0,1,0,0,0,0,E01033654,25.732,160000.0,14,2,29,1,0,0,0
27300113,Ancoats and Clayton,Manchester,53.486059999999995,-2.2332099999999997,Entire apartment,14,2.0,2.0,336.0,1,1125,0,17,0,1,1,0,1,1,1,0,1,E01033667,34.751,199275.0,9,17,39,1,0,0,0
9524152,Ancoats and Clayton,Manchester,53.485900045505716,-2.2341308164856937,Apartment,14,1.5,2.0,150.0,1,1125,339,0,0,0,1,0,1,1,1,0,0,E01033667,34.751,199275.0,9,17,39,1,0,0,0
22354809,Withington,Manchester,53.43898000000001,-2.21519,Entire house,14,2.0,6.0,230.0,2,1125,328,76,1,1,1,1,1,1,1,0,0,E01005312,28.0,145000.0,13,29,32,1,0,0,0
36059195,Wigan District,Manchester,53.51591,-2.4723900000000003,Entire house,14,4.0,6.0,379.0,2,1125,321,33,0,1,1,1,1,1,1,1,1,E01006295,35.263000000000005,87475.0,6,47,94,1,0,0,0
14350530,Cotham,Bristol,51.46468,-2.59262,Entire townhouse,14,2.0,4.0,236.0,2,1125,55,191,0,1,1,1,0,1,1,1,1,E01033367,56.997,311250.0,12,23,46,1,0,0,0
9522753,Ancoats and Clayton,Manchester,53.48561164861019,-2.2341508862483006,Apartment,14,1.5,2.0,150.0,1,1125,334,0,0,0,1,0,1,1,1,0,0,E01033667,34.751,199275.0,9,17,39,1,0,0,0
16878480,Redland,Bristol,51.473890000000004,-2.6059400000000004,Entire house,14,3.0,7.0,343.0,6,21,122,5,0,1,1,1,1,1,1,1,0,E01014672,9.931000000000001,393513.0,17,31,61,1,0,0,0
28148415,Salford District,Manchester,53.48146,-2.26284,Entire house,14,4.0,3.0,170.0,2,1125,38,53,0,1,1,1,1,1,1,1,1,E01032907,37.671,230500.0,19,25,46,1,0,0,0
